-0.42774,-1.8357,1.3932,-0.25317,-0.68882,0.62141,-0.090862,-0.55237,1.2499,0.59766
-0.57937,-0.12613,-1.2653,1.0189,0.33433,-1.0664,0.0047046,0.15523,-1.1566,-0.92151
0.92597,-0.67805,0.0066784,0.45344,1.5955,1.0394,1.7604,2.2003,-0.18356,-0.023299
0.0055104,1.265,0.5153,-0.61996,-0.11914,0.084051,-0.94153,-1.8967,-0.14888,-1.1719
-0.63449,0.34814,-1.6947,0.41976,0.35901,0.69816,-0.24459,-0.1048,0.73661,-1.0993
0.85833,0.41349,1.1032,0.0016898,0.67269,-1.2242,0.1988,0.51174,1.2334,1.6046
-0.48078,-0.37451,0.31819,-0.40107,0.90578,-0.97452,-0.10226,0.66508,0.0015779,0.21273
1.4897,-0.89425,2.4211,-0.81615,1.6423,1.0602,1.3715,0.79073,-0.17292,-0.72295
-0.62939,0.28035,0.8455,-0.40527,1.1168,0.25084,-0.48828,0.20874,1.5801,0.69799
-0.59395,-0.43826,0.79237,0.41565,1.7514,1.2817,-0.49224,0.48172,-0.026203,1.9211
-0.62869,1.3925,1.5456,-1.1859,0.73723,0.69179,-0.94337,0.60461,-0.38181,-0.69952
0.35625,-0.36738,-0.30685,0.31688,0.45107,-0.8922,1.1916,0.3256,-0.052285,0.36478
1.3051,-0.79543,1.175,0.33995,-0.42164,0.38755,0.26788,-0.017237,1.2264,-0.029766
0.36567,-0.2184,-0.14194,0.36749,0.68267,1.4663,0.038521,-0.35272,0.16444,-0.80504
0.77208,1.082,0.58795,0.60179,-1.9485,-0.31819,1.2566,0.24061,0.89444,-2.2737
1.2553,-0.567,0.15092,0.28193,0.87404,0.91528,-0.11452,0.79508,-0.56903,1.4715
-0.12833,-0.095499,-0.28485,-2.2207,-1.8671,0.341,-1.2456,-0.90623,1.0501,-0.65382
0.94862,-1.478,-0.996,0.54459,-0.80907,0.34627,0.16035,1.028,0.11799,-0.0064702
-0.1245,0.12211,0.00092824,0.86805,-0.071604,1.9478,-0.19026,-0.091271,-0.48744,-0.45464
2.0999,-0.38312,0.11457,1.9004,-0.99643,-2.0036,-1.3981,-1.3306,-0.87635,-1.2344
